,unique_id,ds,Naive,Naive-lo-70,Naive-lo-80,Naive-lo-90,Naive-hi-70,Naive-hi-80,Naive-hi-90,SeasonalNaive,SeasonalNaive-lo-70,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-hi-70,SeasonalNaive-hi-80,SeasonalNaive-hi-90,WindowAverage,WindowAverage-lo-90,WindowAverage-lo-80,WindowAverage-lo-70,WindowAverage-hi-70,WindowAverage-hi-80,WindowAverage-hi-90,SeasWA,SeasWA-lo-90,SeasWA-lo-80,SeasWA-lo-70,SeasWA-hi-70,SeasWA-hi-80,SeasWA-hi-90,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-lo-80,AutoARIMA-lo-70,AutoARIMA-hi-70,AutoARIMA-hi-80,AutoARIMA-hi-90,y
2,IBOVESPA,2023-10-02,116565.0,113972.695,113359.61,112450.93,119157.305,119770.39,120679.07,120586.0,107793.61,104768.19,100284.055,133378.39,136403.81,140887.94,117226.88,103607.2,106236.4,108693.4,125760.37,128217.37,130846.56,110988.85,101122.8,101267.59,101746.62,120231.086,120710.11,120854.91,116473.0,112631.44,113479.93,114052.41,118893.6,119466.08,120314.57,115057.0
3,IBOVESPA,2023-10-03,116565.0,113571.664,112863.734,111814.48,119558.336,120266.266,121315.52,119508.0,106715.61,103690.19,99206.055,132300.39,135325.81,139809.94,117226.88,103505.8,106189.6,108700.3,125753.47,128264.164,130947.97,110843.28,101296.8,101771.59,102494.13,119192.43,119914.97,120389.766,116473.0,112075.39,113046.7,113702.04,119243.97,119899.305,120870.62,113419.0
4,IBOVESPA,2023-10-04,116565.0,113218.34,112426.86,111253.75,119911.66,120703.14,121876.25,119508.0,106715.61,103690.19,99206.055,132300.39,135325.81,139809.94,117226.88,103493.9,106165.8,108763.7,125690.06,128287.97,130959.87,111036.0,101431.7,102041.4,102808.9,119263.1,120030.6,120640.3,116473.0,111582.164,112662.414,113391.25,119554.75,120283.59,121363.84,113607.0
5,IBOVESPA,2023-10-05,116565.0,112898.93,112031.89,110746.82,120231.07,121098.11,122383.18,119508.0,106715.61,103690.19,99206.055,132300.39,135325.81,139809.94,117226.88,103306.3,105790.6,108271.29,126182.48,128663.164,131147.47,111012.29,101415.1,102008.2,102717.58,119307.0,120016.375,120609.48,116473.0,111134.31,112313.48,113109.055,119836.945,120632.52,121811.695,113284.0
6,IBOVESPA,2023-10-06,116565.0,112605.19,111668.69,110280.65,120524.81,121461.31,122849.35,119380.0,106587.61,103562.19,99078.055,132172.39,135197.81,139681.94,117226.88,103993.0,107164.0,110141.586,124312.18,127289.766,130460.766,111550.3,101836.51,102851.016,103915.195,119185.4,120249.58,121264.086,116473.0,110721.23,111991.63,112848.77,120097.234,120954.375,122224.78,114170.0
7,IBOVESPA,2023-10-07,116565.0,112331.78,111330.62,109846.74,120798.22,121799.38,123283.26,119090.0,106297.61,103272.19,98788.055,131882.39,134907.81,139391.94,117226.88,103924.6,106002.2,108162.04,126291.73,128451.56,130529.164,111574.15,102620.95,103394.91,104161.84,118986.45,119753.39,120527.34,116473.0,110335.88,111691.4,112605.96,120340.05,121254.61,122610.125,114170.0
8,IBOVESPA,2023-10-08,116565.0,112074.99,111013.1,109439.22,121055.01,122116.9,123690.78,118409.0,105616.61,102591.19,98107.055,131201.39,134226.81,138710.94,117226.88,106891.6,107569.2,108544.734,125909.03,126884.56,127562.164,111731.43,105459.91,105865.96,106225.49,117237.37,117596.9,118002.95,116473.0,109973.34,111408.94,112377.52,120568.484,121537.07,122972.664,114170.0
9,IBOVESPA,2023-10-09,116565.0,111832.12,110712.78,109053.766,121297.88,122417.22,124076.234,118350.0,105557.61,102532.19,98048.055,131142.39,134167.81,138651.94,117226.88,107331.0,107772.0,108547.69,125906.08,126681.766,127122.766,111343.57,104802.99,105268.84,105729.234,116957.91,117418.3,117884.15,116473.0,109629.984,111141.414,112161.17,120784.836,121804.59,123316.02,115156.0
10,IBOVESPA,2023-10-10,116565.0,111601.11,110427.15,108687.15,121528.89,122702.85,124442.85,118065.0,105272.61,102247.19,97763.055,130857.39,133882.81,138366.94,117226.88,107050.2,107642.4,108561.94,125891.83,126811.37,127403.56,111342.29,104874.73,105129.875,105404.05,117280.53,117554.7,117809.85,116473.0,109303.05,110886.695,111955.164,120990.836,122059.31,123642.96,116737.0
11,IBOVESPA,2023-10-11,116565.0,111380.39,110154.22,108336.85,121749.61,122975.78,124793.15,118065.0,105272.61,102247.19,97763.055,130857.39,133882.81,138366.94,117226.88,107177.45,108075.9,109223.14,125230.625,126377.87,127276.31,111350.14,105097.984,105560.68,105973.37,116726.914,117139.6,117602.3,116473.0,108990.38,110643.086,111758.16,121187.85,122302.92,123955.62,117051.0
